id,video,frame,bbox_x,bbox_y,bbox_w,bbox_h
1,Video_1.mp4,2,109,229,357,203
1,Video_1.mp4,3,110,232,358,200
1,Video_1.mp4,4,112,234,358,198
1,Video_1.mp4,5,114,235,359,197
1,Video_1.mp4,6,118,238,360,194
1,Video_1.mp4,7,121,239,362,193
1,Video_1.mp4,8,125,240,363,192
1,Video_1.mp4,9,128,242,365,190
1,Video_1.mp4,10,132,244,366,188
1,Video_1.mp4,11,134,244,370,188
1,Video_1.mp4,12,137,246,371,186
1,Video_1.mp4,13,139,247,374,185
1,Video_1.mp4,14,142,248,376,184
1,Video_1.mp4,15,144,248,378,184
1,Video_1.mp4,16,146,248,380,184
1,Video_1.mp4,17,147,249,382,183
1,Video_1.mp4,18,149,250,383,182
1,Video_1.mp4,19,149,251,386,181
1,Video_1.mp4,20,150,252,388,180
1,Video_1.mp4,21,151,253,389,179
1,Video_1.mp4,22,152,253,390,179
1,Video_1.mp4,23,152,253,391,179
1,Video_1.mp4,24,152,254,392,178
1,Video_1.mp4,25,151,253,393,179
1,Video_1.mp4,26,149,253,395,179
1,Video_1.mp4,27,148,252,395,180
1,Video_1.mp4,28,147,252,396,180
1,Video_1.mp4,29,145,252,396,180
1,Video_1.mp4,30,143,251,398,181
1,Video_1.mp4,31,141,251,398,181
1,Video_1.mp4,32,138,251,399,181
1,Video_1.mp4,33,135,251,399,181
1,Video_1.mp4,34,132,250,399,182
1,Video_1.mp4,35,128,249,399,183
1,Video_1.mp4,36,124,247,399,185
1,Video_1.mp4,37,121,245,398,187
1,Video_1.mp4,38,115,241,397,191
1,Video_1.mp4,39,111,237,396,195
1,Video_1.mp4,40,109,234,393,198
1,Video_1.mp4,41,102,231,392,201
1,Video_1.mp4,42,96,228,390,204
1,Video_1.mp4,43,92,223,386,209
1,Video_1.mp4,44,89,220,383,212
1,Video_1.mp4,45,86,217,379,215
1,Video_1.mp4,46,81,215,375,217
1,Video_1.mp4,46,325,62,414,193
1,Video_1.mp4,47,73,213,371,219
1,Video_1.mp4,47,317,62,415,193
1,Video_1.mp4,48,71,212,366,220
1,Video_1.mp4,48,304,61,430,200
1,Video_1.mp4,49,68,209,360,223
1,Video_1.mp4,49,292,60,437,204
1,Video_1.mp4,50,66,207,353,225
1,Video_1.mp4,50,283,58,441,207
1,Video_1.mp4,51,67,206,348,226
1,Video_1.mp4,51,277,57,442,208
1,Video_1.mp4,52,70,206,342,226
1,Video_1.mp4,52,281,58,433,203
1,Video_1.mp4,53,74,205,337,227
1,Video_1.mp4,53,270,57,438,207
1,Video_1.mp4,54,78,206,332,226
1,Video_1.mp4,54,274,55,430,203
1,Video_1.mp4,55,82,207,329,225
1,Video_1.mp4,55,269,56,434,207
1,Video_1.mp4,56,85,208,326,224
1,Video_1.mp4,56,262,55,443,213
1,Video_1.mp4,57,89,210,323,222
1,Video_1.mp4,57,257,54,445,216
1,Video_1.mp4,58,92,212,319,220
1,Video_1.mp4,58,245,54,450,221
1,Video_1.mp4,59,96,213,317,219
1,Video_1.mp4,59,236,54,453,225
1,Video_1.mp4,60,99,213,315,219
1,Video_1.mp4,60,229,53,458,231
1,Video_1.mp4,61,103,213,313,219
1,Video_1.mp4,61,229,54,455,232
1,Video_1.mp4,62,106,214,312,218
1,Video_1.mp4,62,232,54,449,233
1,Video_1.mp4,63,109,216,311,216
1,Video_1.mp4,63,237,53,442,232
1,Video_1.mp4,64,114,217,309,215
1,Video_1.mp4,64,238,54,440,232
1,Video_1.mp4,65,117,220,307,212
1,Video_1.mp4,65,239,55,437,234
1,Video_1.mp4,66,121,222,305,210
1,Video_1.mp4,66,236,56,439,238
1,Video_1.mp4,67,123,223,305,209
1,Video_1.mp4,67,236,56,436,239
1,Video_1.mp4,68,125,224,305,208
1,Video_1.mp4,68,241,56,426,235
1,Video_1.mp4,69,126,225,303,207
1,Video_1.mp4,69,247,55,417,232
1,Video_1.mp4,70,127,225,303,207
1,Video_1.mp4,70,250,54,412,232
1,Video_1.mp4,71,129,226,302,206
1,Video_1.mp4,71,256,54,406,229
1,Video_1.mp4,72,131,225,301,207
1,Video_1.mp4,72,255,55,407,230
1,Video_1.mp4,73,132,224,300,208
1,Video_1.mp4,73,258,56,405,231
1,Video_1.mp4,74,133,222,299,210
1,Video_1.mp4,74,264,55,404,233
1,Video_1.mp4,75,132,220,299,212
1,Video_1.mp4,75,258,56,406,235
1,Video_1.mp4,76,131,217,298,215
1,Video_1.mp4,76,262,55,405,237
1,Video_1.mp4,77,134,213,299,219
1,Video_1.mp4,77,259,55,406,239
1,Video_1.mp4,78,142,209,302,223
1,Video_1.mp4,78,267,56,396,233
1,Video_1.mp4,79,141,205,304,227
1,Video_1.mp4,79,273,57,387,228
1,Video_1.mp4,80,134,202,303,230
1,Video_1.mp4,80,275,57,382,226
1,Video_1.mp4,81,131,197,303,235
1,Video_1.mp4,81,277,58,379,224
1,Video_1.mp4,82,130,193,302,239
1,Video_1.mp4,82,277,58,379,225
1,Video_1.mp4,83,131,188,301,244
1,Video_1.mp4,83,277,58,379,225
1,Video_1.mp4,83,224,17,391,175
1,Video_1.mp4,84,132,185,300,247
1,Video_1.mp4,84,277,58,379,225
1,Video_1.mp4,84,214,17,402,182
1,Video_1.mp4,85,132,182,299,250
1,Video_1.mp4,85,278,58,378,224
1,Video_1.mp4,85,203,18,420,189
1,Video_1.mp4,86,132,178,299,254
1,Video_1.mp4,86,279,58,378,224
1,Video_1.mp4,87,133,176,299,256
1,Video_1.mp4,87,280,58,378,224
1,Video_1.mp4,88,135,174,299,258
1,Video_1.mp4,88,281,58,379,226
1,Video_1.mp4,88,251,23,316,185
1,Video_1.mp4,89,135,172,298,260
1,Video_1.mp4,89,282,58,379,226
1,Video_1.mp4,89,251,23,313,184
1,Video_1.mp4,90,136,169,296,263
1,Video_1.mp4,90,282,58,380,226
1,Video_1.mp4,90,251,24,310,181
1,Video_1.mp4,91,136,168,296,264
1,Video_1.mp4,91,283,58,380,226
1,Video_1.mp4,91,248,25,312,182
1,Video_1.mp4,92,137,168,296,264
1,Video_1.mp4,92,284,58,380,226
1,Video_1.mp4,92,245,26,312,182
1,Video_1.mp4,93,138,168,297,264
1,Video_1.mp4,93,286,58,379,224
1,Video_1.mp4,93,238,27,315,184
1,Video_1.mp4,94,141,168,298,264
1,Video_1.mp4,94,287,57,377,223
1,Video_1.mp4,94,236,28,312,182
1,Video_1.mp4,95,143,168,299,264
1,Video_1.mp4,95,285,56,380,224
1,Video_1.mp4,95,233,30,314,183
1,Video_1.mp4,96,142,169,301,263
1,Video_1.mp4,96,285,56,383,224
1,Video_1.mp4,96,224,30,315,184
1,Video_1.mp4,97,141,169,301,263
1,Video_1.mp4,97,285,56,383,224
1,Video_1.mp4,97,221,31,317,186
1,Video_1.mp4,98,139,170,302,262
1,Video_1.mp4,98,286,56,383,224
1,Video_1.mp4,98,220,33,321,188
1,Video_1.mp4,99,137,171,302,261
1,Video_1.mp4,99,285,56,386,224
1,Video_1.mp4,99,214,33,332,196
1,Video_1.mp4,100,139,172,302,260
1,Video_1.mp4,100,286,56,388,225
1,Video_1.mp4,100,211,34,339,201
1,Video_1.mp4,101,139,174,303,258
1,Video_1.mp4,101,288,56,390,225
1,Video_1.mp4,101,211,35,338,200
1,Video_1.mp4,102,140,176,302,256
1,Video_1.mp4,102,289,55,393,226
1,Video_1.mp4,102,208,35,339,204
1,Video_1.mp4,103,140,178,302,254
1,Video_1.mp4,103,291,56,394,225
1,Video_1.mp4,103,210,36,332,200
1,Video_1.mp4,104,141,181,301,251
1,Video_1.mp4,104,293,56,394,224
1,Video_1.mp4,104,211,37,328,197
1,Video_1.mp4,105,141,184,300,248
1,Video_1.mp4,105,296,56,394,222
1,Video_1.mp4,105,214,38,321,193
1,Video_1.mp4,106,141,187,301,245
1,Video_1.mp4,106,299,56,395,222
1,Video_1.mp4,106,210,38,327,198
1,Video_1.mp4,107,141,190,300,242
1,Video_1.mp4,107,303,55,397,221
1,Video_1.mp4,107,207,39,332,201
1,Video_1.mp4,108,140,193,301,239
1,Video_1.mp4,108,306,54,402,222
1,Video_1.mp4,108,208,39,331,203
1,Video_1.mp4,109,141,196,300,236
1,Video_1.mp4,109,313,54,402,221
1,Video_1.mp4,109,208,40,332,203
1,Video_1.mp4,110,141,198,300,234
1,Video_1.mp4,110,316,53,404,221
1,Video_1.mp4,110,208,40,333,205
1,Video_1.mp4,111,142,199,301,233
1,Video_1.mp4,111,326,54,394,213
1,Video_1.mp4,111,210,40,330,205
1,Video_1.mp4,112,143,201,300,231
1,Video_1.mp4,112,323,54,405,217
1,Video_1.mp4,112,209,41,332,206
1,Video_1.mp4,113,142,202,300,230
1,Video_1.mp4,113,324,54,409,218
1,Video_1.mp4,113,210,41,331,207
1,Video_1.mp4,114,144,201,301,231
1,Video_1.mp4,114,327,54,410,218
